license_no	public_title	public_journal	public_html	public_volume	public_date
101238443	"A comparitive study of cobalamin deficiency in African Americans with and without Sickle Cell Disease"	Blood	www.bloodjournal.org	"102(11): 29b"	200311
101238443	"A comparitive study of cobalamin deficiency in African Americans with and without Sickle Cell Disease"	JNMA		"volume 98, No 8"	200608
101238443	"Cardiotoxicities of Paclitaxel in African Americans"	JNMA	www.NMAnet.org	"volume 95, No 10"	200310
101238443	"Ferritin and increased vs upper reference interval tibc saturation to identify increased iron stores in African Americans"	"Clinica Chmica Acta "		405	200907
101238445	"Anatomic relationship of the internal jugular vein and the common carotid artery applied to percutaneous transjugular procedures."	"Cardiovasc Intervent Radiol."		"2005 May-Jun;28(3):303-6."	200505
101238452	"Autopsy features of sudden death due to isolated eosinophilic coronary arteritis: report of two cases."	"J Forensic Nurs "		"2011; 7(3): 153-156"	201101
101238452	"Malaria diagnosed by autopsy in a young traveler returning from Uganda: limitations of surveillance"	"J Travel Med "		"2013; 20(1): 47-49"	201301
101238462	"Concept similarity in publications precedes cross-disciplinary collaboration"	"Proc AMIA Symp"		2008:606-610	200911
101238462	"Informatics Training in Pathology Residency Programs: Proposed Learning Objectives and Skill Sets for the New Millennium."	"Arch Pathol Lab Med"	arpa.allenpress.com/arpaonline/?request=index-html	127	200308
101238462	"Mining recent temporal patterns for event detection in multivariate time series data"	"Proceedings of the 18th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (KDD '12)"		2012:280-288	201201
101238462	"Pathology Informatics Questions and Answers from the University of Pittsburgh Pathology Residency Informatics Rotation."	"Arch Pathol Lab Med"	arpa.allenpress.com/arpaonline/?request=index-html	128	200401
101238462	"Training in Pathology Informatics: Implementation at the University of Pittsburgh."	"Arch Pathol Lab Med"	arpa.allenpress.com/arpaonline/?request=index-html	127	200308
101238463	"Dieulafoy Lesion of the Bronchus: Review of the Literature and Report of the 13th Case"	"Journal of Bronchology"			200801
101238463	"Fluoroscopic Management of a Metastatic Esophagopleural Fistula."	"J Am Coll Surg"			200909
101238463	"Novel thoracoscopic approach to posterior mediastinal goiters: report of two cases"	"J Cardiothorac Surg."			200810
101238463	"Postpneumonectomy and Postlobectomy Empyema. "	"Thorac Surg Clin"		16	200608
101238463	"Robot-assisted lobectomy for early-stage lung cancer: report of 100 consecutive cases"	"Ann Thorac Surg."			200908
101238463	"Robotic Assisted Thoracoscopic Lobectomy for Early Stage Lung Cancer"	"Ann Thorac Surg "		85	200801
101238463	"Robotic en bloc first-rib resection for Paget Schroetter disease, a form of thoracic outlet syndrome: technique and initial results"	Innovations		7	201201
101238463	"Robotic selective postganglionic thoracic sympathectomy for the treatment of hyperhidrosis"	"Ann Thor Surg"		95	201301
101238463	"Spontaneous pneumomediastinum: diagnostic and therapeutic interventions"	"J Cardiothorac Surg."			200811
101238463	"The learning curve of robotic lobectomy"	"Int J Med Robot"		8	201212
101238464	"Time to hospital arrival, use of thrombolytics, and in-hospital outcomes in ischemic stroke"	"American Academy of Neurology"	www.neurology.org	64	200507
101238493	n/a				200501
101238500	"Prevalence of positive skin prick test results in children with Down syndrome: a case-control study"	"Annals of Allergy, Asthma and Immunology"		102	200903
101238500	"Systemic reaction to pneumococcal vaccine:  How common in pediatrics?"	"Allergy and Asthma Proceedings"		29	200808
101238507	"Depression after Delivery:Risk factors, Diagnostic and Therapeutic Cosiderations"	"The Scientific World 2007"		"7,1670-1680"	200701
101238507	"Prepartum Depression"	"Int. /journal Child Health Hum.Dev.2008"		1(2):00-00	200801
101238512	"Transcaruncular approach to medial orbital wall fractures"	"Journal of Oral and Maxillofacial Surgery"	www.joms.org	65	200711
101238518	"Athletes with Disabilities"	Emedicine	"www.emedicine.com.sports/topic 144.htm"		200111
101238518	"Pulmonary Outpatient Rehabilitation"	"Essential of Physical Medicine And Rehabilitation"		"Chapter 13"	200212
101238518	"Spinal Cord Medicine"	"Maryland Medicine"		4(4)	200310
101238518	"Tumors of the Spine and Spinal Cord"	"Spinal Cord Medicine"		"Chapter 31, 2001"	200201
101238533	"Alternative to tracheostomy: submental intubation in craniomaxillofacial trauma."	"Journal of Craniofacial Sugery"		"16, no 3"	200501
101238533	"Maximizing length and optimizing biomechanics in foot amputations by avoiding cookbook recipes for amputation."	"Seminars in Vascular Surgery"		16	200301
101238533	"The use of calcium hydroxylapaptite for nipple projection after failed nipple areolar reconstruction."	"Annals of Plastic Surgery"		"IN PRESS"	200501
101238540	"Risk of esophageal bleeding based on endoscopic ultrasound evaluation of the sum of esophageal variceal cross-sectional surface area"	"The American Journal of Gastroenterology"		98(2)	200302
101238549	"A Review of Idiopathic Hydramnios and Pregnancy Outcomes"	"Obstetric and Gynecologic Survey"		62	200712
101238549	"Hepatic Epithelial Hemangioendothelioma in Pregnancy"	"Gynecologic and Obstetric Investigation"		67	200903
101238549	"Peripartum outcomes of high risk pregnancies complicated by oligo- and polyhydramnios"	"Journal of Obstetrics and Gynaecology Research"		36	201004
101238549	"Planned vs. Emergent Cesarean Hysterectomy"	"American Journal of Obstetrics and Gynecology"		197	200708
101238549	"Prevalence of Domestic Violence in a Pregnant Military Population"	"Obstetrics and Gynecology"		113	200904
101238551	"The effects of 3,4-Methylenedioxymethamphetamine (MDMA; Ecstasy) on the rat kidneys: An evaluation of renal clearance and histopathology."	"Journal of Biological Research"		1	200005
101238556	"Dropped gallstone as a nidus of intra-abdominal abscess complicated by empyema."	"Clinical Infectious Diseases"		"2005 Sep 15;41(6):e64-6. Epub 2005 Aug 10"	200509
101238556	"Gastric MALT lymphoma in the absence of Helicobacter pylori infection presenting as an upper gastrointestinal hemorrhage"	"South Med J"	www.ncbi.nlm.nih.gov/pubmed/17100037	99	200710
101238561	"Antimicrobial agents in treatment of MRSA infections"	"Disease a Month"		54	200812
101238561	"Clindamycin-induced hypopharyngeal injury"	"Gastrointestinal Endoscopy"		67	200805
101238561	"Efficacious outcome employing fecal bacteriotherapy in severe Crohn's colitis complicated by refractory Clostridium difficile infection"	Infection		"epub ahead of print"	201112
101238561	"Hemoptysis associated with leptospirosis acquired in Hawaii, USA"	"Emerging Infectious Diseases"		17	201112
101238561	"Invasive maxillary sinus mass in a renal transplant patient"	"Nephrology Dialysis Transplant Plus"		1	200808
101238561	"Mortality associated with Acinetobacter baumannii complex bacteremia among patients with war-related trauma"	"Infection Control and Hospital Epidemiology"		31	201001
101238561	"Osteonecrosis in HIV-infected persons"	"AIDS Reader"		18	200802
101238561	"Q fever in US military returning from Iraq"	"American Journal of Medicine"		120	200709
101238561	"The epidemiological transition:  the current status of infectious diseases in the developed world versus the developing world"	"Science Progress"		91	200803
101238561	"Tuberculosis in HIV infected patients"	"Disease a Month"		52	200612
101238563	"Sickle Cell Disease, Extreme Hyperbilirubinemia, and Pericardial Tamponade: Case Report and Review of the Literature"	"Critical Care Medicine "	www.ccmjournal.com	30	200210
101238591	"Acute Dystonia with Quetiapine"	"Clinical Neuropharmacology"		"23 (4)"	200007
101238591	"Lithium, Minocycline and Pseudotumor Cerebri"	"Journal of AACAP"	www.jaacap.com	43:3	200403
101238591	none				200501
101238601	"Confirmation Of Daily Patient Position Reproducibility During Stereotactic Radiotherapy"	"Proceedings of the Linear Accelerator Radiosurgery Conference (Univ of Florida)"		"December 2002"	200212
101238601	"Development of a Remote Proton Radiation Therapy Solution over Internet2"	"Telemedicine and e-Health"	www.liebertonline.com/toc/tmj/0/0?cookieSet=1	15	200912
101238620	"BLOOD BRAIN BARRIER-THE ROLE OF GAD ANTIBODIES IN PSYCHIATRY"	"PSYCHIATRY "	www.psychiatrymmc.com	"4, NO .6"	200706
101238620	"BLOOD BRAIN BARRIER:THE ROLE OF PYRIDOXINE"	PSYCHIATRY	www.psychiatrymmc.com	"4, NO. 8"	200708
101238620	"Classic features of McCune-Albright Syndrome"	"Encyclopedia of Endocrine Diseases"		1	200401
101238620	"GAD65 ANTIBODIES, CHRONIC PSYCHOSIS, AND TYPE 2 DIABETES MELLITUS"	"INNOVATIONS IN CLINICAL NEUROSCIENCE"		"8, NUMBER 8"	201108
101238620	"Obstructive sllep apnea, hypoxia, and metabolic syndrome in psychiatric and nonpsychiatric settings."	"Psychiatry (Edgemont0"		5(8)	200808
101238620	"Role of calcium regulation in pathophysiology model of schizophrenia and possible interventions."	"Medical Hypotheses"	www.idealibrary.com	58	200202
101238620	"Role of cholinergic system and calcium synchronization in schizophrenia."	"Psychiatry (Edgemont)."		6(4)	200904
101238620	"The blood brain barrier and the role of cytokines in neuropsychiatry."	"Psychiatry (Edgemont)."		6(11)	200911
101238620	"The blood brain barrier and the role of ratiometric molecular analysis in schizophrenia"	Psychiatry(Edgemont)		7(12)	201012
101238620	"Thermoregulation and the role of calcium signalling in neurotransmission."	"Psychiatry (Edgemont)"		5(12)	200812
101238638	"Jacho-Levin Syndrome : a case report and review of literature"	"Neonatal Intensive Care"		"18, No 3"	200505
101238639	"Colorectal Cancer Screening among African Americans"	"Journal of the National Medical Association"		95	200309
101238639	"Conceptual Design for a Randomized Intervention study of Dietary Change in Religious Organizations"	"Preventive Medicine"		39	200404
101238639	"Hospice patient attitudes regarding spiritual discussions with their doctors"	"American Journal of Hospice and Palliative Care"		20	200303
101238639	"Is Religious Orientation Associated with Fat and Fruit/Vegetable Intake?"	"Journal of the American Dietetic Association"		104	200408
101238639	"Recruitment of Religious Organizations into Community-based Dietary Change Program"	"Health and Social Care in the Community"		13	200506
101238639	"The Feasibility of Partnering with African American Barbershops to Provide Prostate Cancer Education"	"Ethnicity and Disease"		14	200404
101238643	"A Phase I trial of the Single-Chain Immunotoxin SGN-10 (BR96 sFv-PE40) in patients with Advanced Solid Tumors."	"Clinical cancer research"		"8:3092-2099, 2002"	200201
101238644	"Efficacy of a proximal occlusion catheter with reversal of flow in the prevention of embolic events during carotid artery stenting:  an experimental analysis   "	"Journal of Vascular Surgery"		"33(3): 504-509"	200103
101238644	"Endovascular grafts for ruptured aneurysms"	"Advances in Vascular Surgery"		8	200001
101238644	"Hypogastric artery aneurysm rupture after endovascular graft exclusion with shrikage of the aneurysm:  significance of endotension from a ""virtual"" or thrombosed type II endoleak "	"Journal of Vascular  Surgery"		33(6):1271-1274	200106
101238644	"Increasing incidence of mid-term and long-term complications after  endovascular graft repair of abdominal aortic aneurysms: a note of caution based on a 9 year experience  "	"Annals of Surgery"		"234(3): 323-335"	200109
101238658	"Thesis on Clinico-Laparotomy Co-relation in Diagnosis of Acute Abdomen"				200501
101238662	"Spinal chloroprocaine solutions: density at 37C and pH titration."	"Anesthesia & Analgesia"		98	200401
101238696	"Is non-operative treatment of Charcot feet acceptable?"	"Clinical Orthopaedics and Related Research"	corr.com		200506
101238696	"keeping up with the joneses"	"iowa orthopaedic journal"		"volume 20"	200405
101238696	"Medial Clavicular osteochondroma causing subclavian stenosis"	JBJS	jbjs.org		200411
101238702	"Analysis of motor vehicle ejection victims admitted to a level 1 trauma center"	"Journal of Trauma"		51	200111
101238702	"Association of scapular fractures and blunt thoracic aortic injury: fact or fiction?"	"American Surgeon"		71	200501
101238702	"Current diagnostic approaches lack seneitivity in the diagnosis of perforated blunt small bowel injury: analysis from 275,557 trauma admissions from th eEAST multi-institutional HVI trial"	"Journal of Trauma"		54	200302
101238702	"Does volume matter?  The effect of trauma surgeons caseload on mortality"	"Jounral of Trauma"		54	200305
101238702	"Lumbar fractures in adult blunt trauma: axial and single-slice helical abdominal and pelvic computed tomographic scans versus portable plain films"	"Journal of Trauma"		53	200210
101238702	"Penetrating esophageal injuries: Multicenter study of the American Association for teh surgery of Trauma"	"Journal of Trauma"		50	200102
101238702	"The Pentagon and 9/11"	"Critical Care Medicine"		33	200501
101238702	"Utility of routine serial computerized tomograpphy for blunt intracranial injury"	"Journal of Trauma"		51	200111
101238714	"Cardiovascular phenotyping of fetal mice by noninvasive high-frequency ultrasound facilitates recovery of ENU-induced mutations causing congenital cardiac and extracardiac defects"	"Physiologic Genomics"		14;24(1):23-36	200512
101238714	"ENU induced mutations causing congenital cardiovascular anomalies."	Development	dev.biologists.org/cgi/content/full/131/24/6211	131(24)	200412
101238722	"Malaria: Diagnosis and Treatment"	"Federal Practioner"			200509
101238737	"Catfish spine Envenomation"	"Wild Environ Med"		14	200305
101238737	"Treatment of recurrent neuroma of the interdigital nerve by implantation of the proximal nerve into muscle"	"J Foot Ankle Surg"		40	200111
101238737	"Vascularized medial sural cutaneous nerve grafts"	"J Recon Microsurgery"		18	200204
101238744	" "				200501
101238744	"Isolated Gastric Polyposis of the Peutz-Jeghers Type"	"American Journal of Gastroenterology"		98:S46	200301
101238744	"Success of Cervical Exploration for Patients With Asymptomatic Primary Hyperparathyroidism"	"American Journal of Surgery"		177:69-74	200301
101238744	"Surgical Support of Operation Sea Signal"	"Military Medicine"		168:957-960	200301
101238744	"What is Causing This Man's Obstructive Jaundice?"	"Contemporary Surgery"		60:77-81	200402
101238758	"Epidemiology of Adut Psychiatric Visits to US Emergency Departments"	"Academic Emergency Medicine"		"11 (2)"	200402
101238777	"Index of Suspicion"	"Pediatrics in Review"	pedsinreview.aappublications.org/cgi/content/extract/31/7/303	31	201007
101238787	Goiter	eMedicine	www.emedicine.com/MED/topic916.htm	916	200011
101238787	"Pituitary Macroadenomas "	emedicine	www.emedicine.com/med/topic1379.htm	1379	200004
101238789	"EBV associated smooth muscle tumor of the basla ganglia in an HIV+ patient"	"Pediatric and Developmental Pathology"		7	200404
101238789	"EBV+ primary gastrointestinal Hodgkin's disease"	"Am J Surg Pathol"		24	200001
101238789	"Fulminant EBV associated lymphoproliferative disorder following acute/chronic EBV infection"	Blood		96	200004
101238789	"Intracranial metastasis presenting as isolated pituitary involvement in congenital disseminated neuroblastoma"	"Pediatr Blood Cancer"			200404
101238789	"Primary Cutaneous CD30-positive Anaplastic Large cell lymphoma in childhood"	"Pediatric and Developmental Pathology"		8:52-60	200501
101238789	"Utility of myogenin staining in diagnosis of rhabdomyosarcoma"	"Mod Pathol"		13	200009
101238795	"Aminophylline infusion for status asthmaticus in the pediatric critical care unit setting is independently associated with increased length of stay and time for symptom improvement"	"Pulmonary Pharmacology & Therapeutics"		27(1)	201202
101238795	"Contemporary aminophylline use for status asthmaticus in Pedicatric ICUs"	Chest		141(4)	201204
101238795	"Excessive cow's milk consumption and iron deficiency in toddlers: Two unusual presentations and review"	"ICAN: Infant, Child & Adolescent Nutrition"		1(3)	200906
101238803	"Alternate suction reduces prolonged air leak after pulmonary lobectomy: a randomized comparison vs water seal (invited commentary) "	"Ann Thorac Surgery"			200509
101238803	"Bronchial sleeve resection for post-transplant stricture."	"Annals Thorac Surg"		76:2075-6	2003
101238803	"Differentially Expressed Apoptotic Genes in Node Negative Lung Adenocarcinoma Predicted by Expression Profiling."	"Cancer Biol Ther"		2(5):566-571	2003
101238803	"Evolving options in the management of esophageal perforation."	"Ann Thorac Surg"		77:1475-83	2004
101238803	"Fine-needle aspiration of hibernoma."	"Diagn Cytopathol"		29:44-5	2003
101238803	"Lung Cancer in Transplant Recipients: A Single Institution Experience."	"Arch Surg"		"139(8): 902-6"	2004
101238803	"Simple technique for maximal thoracic muscle harvest."	"Ann Thorac Surg"		"77(4): 1465-6"	2004
101238803	"Surgical approach for superiror sulcus tumors.  In: Kaiser LR, Jamison GG (eds) "	"Robb & Smith's Operative Thoracic Surgery.  "		"5th Edition "	200601
101238803	"Transcervical thymectomy for myastenia gravis achieves results comparable to thymectomy by sternotomy."	"Ann Thorac Surg"		74:320-6	2002
101238803	"Weerda diverticuloscope: novel use to remove embedded esophageal foreign bodies."	"Annals Thorac Surg"		76:1276-8	2003
101238818	"Management of Swimming-Induced Pulmonary Edema"	"American Family Physician"	www.aafp.org	69	200403
101238837	"Review questions for Chapter 131, Soft Tissue Infections"	"Rosen's Emergency Medicine: Concepts and Clinical Practice.  CD-ROM"		"5th Edition"	200206
101238841	"Bronchiectasis - Clinical Cases"	"Diseas A Month"		"Dis Mon. 2008 Aug;54(8):573-80"	200801
101238841	"Sarcoidosis - Extrapulmonary manifestations"	"Disease a Month"		"Dis Mon. 2009 Nov;55(11):675-92"	200901
101238844	"Normal values for Sincalide Cholescintigraphy, Comparison of two methods."	Radiology	radiology.rsnajnls.org/cgi/content/full/221/2/404	221(2):404-410	200111
101238864	"Differential regulation of interleukin-1 receptor associated kinase 1 (IRAK1) splice variants."	"Mol Immunol. 2007 Feb;44(5):900-5. Epub 2006 May 9."			200605
101238864	"Gabapentin-induced myoclonus in end-stage renal disease"	Epilepsia			200501
101238864	"Gabapentin-induced myoclonus in end-stage renal disease."	"Epilepsia. 2005 Jan;46(1):156-8."			200501
101238875	"Genetic bases of familial cardiac myxomas: Mutational spectrum of the PRKAR1a gene and genetic heterogeneity"	"Ciculation "		"104: II-21-II-22"	200101
101238875	"Identification of a chromosome 11q23.2-q24 locus for familial aortic aneurysm disease, a genetically heterogeneous disorder"	"Circulation "		"103: 2469-2475"	200101
101238875	"Identification of a human chromosome 11q23.3-q24 gene defect for familial aortic aneurysm"	"Circulation "		"104: II-610-II-611."	200101
101238875	"Mutations in the protein kinase A/R1ƒÑ regulatory subunit cause familial cardiac myxomas and Carney Complex."	"J. Clin. Invest"		"106: R31-R38"	200008
101238875	"PGD and Holt-Oram Syndrome"	"Am J Med Genet"		136A:223	200501
101238875	"Preimplantation genetic diagnosis of human congenital heart malformation and Holt-Oram syndrome"	"Am J Med Genet"		"126A (1): 93-8."	200404
101238875	"Preimplantation Genetic Diagnosis of Human Congenital Heart Malformation and Holt-Oram syndrome"	"Circulation "		"18 (17), suppl. 4. A1679"	200301
101238875	"TBX5 nuclear localization is mediated by dual cooperative intramolecular signals"	"Journal of Molecular and Cellular Cardiology"		35:1191-1195	200301
101238882	" “West Nile Virus Presenting as Opsoclonus-Myoclonus-Cerebellar Ataxia” "	Neurology	www.neurology.org	64	200503
101238882	" A Prospective Study of The Incidence  and Open Label Treatment of Interferon Induced Depressive Disorder in Patients with Hepatitis C. , "	"Molecular Psychiatry"	www.nature.com	"7(9): 942-947, 2002."	200210
101238882	"“Prophylactic Treatment of  depression induced by Alpha Interferon .” "	"Psychosomatics, "	psy.psychiatryonline.org/	" 41(5):439- 441"	200010
101238888	"Brain metastases."	"Curr Probl Surg."		41(8):665-741	200408
101238888	"Challenging diagnosis: oligodendroglioma versus extraventricular neurocytoma."	"Clin Neuropathol."		24(5):225-9	200509
101238888	"Effects of ionizing radiation on brain tissue surrounding arteriovenous"	"Neurosurg Rev"		27(2):121-7	200404
101238888	"Metastasis to nervous system: spinal epidural and intramedullary metastases."	"J Neurooncol"		75(1):43-56	200510
101238888	"Multilevel myelopathy in Maroteaux-Lamy syndrome and review of the literature."	"Clin Neurol Neurosurg."		107(3):230-5	200504
101238888	"Osteoradionecrosis mimicking metastatic epidural spinal cord compression"	Neurology.		64(2):396-7	200501
101238888	"Paraneoplastic recurrent multifocal encephalitis presenting with epilepsia"	"J Neurooncol"		72(1):63-6.	200503
101238888	"Radiation-induced malignant triton tumor associated with severe spinal cord"	"J Neurosurg "		"100(3 Suppl Spine):298-302"	200501
101238888	"The effects of chronic hypoperfusion on rat cranial bone mineral and organic"	"Anal Bioanal Chem."		379(3):433-8	200406
101238888	"The Ki-67 labeling index as a prognostic factor in Grade II oligoastrocytomas."	"J Neurosurg."		102(6):1033-9.	200506
101238897	"Cerebrospinal fluid mononuclear cell predominance is not related to symptom duration in children with enteroviral meningitis"	"Journal of Pediatrics"		25	200604
101238897	"Early Differentiation of Lyme from enteroviral meningitis"	"Pediatric Infectious Disease Journal"		24	200506
101238941	"Hepatitis B"	"American Family Physician"		69	200401
101238941	"Knowledge of Structured Treatment Interruption and Adherence to Antiretroviral Therapy"	"AIDS Patient Care and STDs"		19	200503
101238942	"Arteriosclerosis Thrombosis and Vascular Biology, Antibodies to oxidatively modified LDL after polyunsaturated fat meals."				200105
101238949	"'Criteria aPL tests: Report of a Task Force and Preconference Workshop at the 13th International Congress on Antiphospholipid Antibodies"	Lupus		"20 (2)"	201101
101238949	"Asymptomatic Factor VII Deficiency: Gene Analysis and structure function relationships"	"Blood Coagul Fibrinolysis"		1	201001
101238949	"Drug-induced Lupus Anticoagulants and Antiphospholipid Antiboides"	"Curr. Rheumatol Rep "		14	201201
101238949	"False-positive results in ELISA-based anti FVIII antibody assay may occur with lupus anticoagulant and phospholipid antibodies"	Haemophilia		10	201203
101238949	"Laboratory assessment of Factor VIII inhibitor titer: the North American Specialized Coagulation Laboratory Experience"	"Am J of Clinical Pathology"		131)4_	200901
101238949	"Measurement of von Willebrand Factor VIII binding activity in patients with suspected von Willebrand disease type 2N: application of an ELISA-based assay in a reference laboratory"	Haemophilia		15	200901
101238956	none				201401
101238979	"""Prevalence Of Veraguth's Eyelid Folds During Depression In Different Ethnic groups"""	"The journal of nervous and mental disease"		"192, No:10"	200410
101238980	"Optic Neuropathy Following an Altitude Exposure"	"Aviation, Space and Environmental Medicine"		"74, No. 9"	200309
101239001	"Non-alcholic fatty liver disease and hepatocellular carcinoma: A weighty connection"	Hepatology		51	201005
101239006	"Treating fibromyalgia with a brief interdisciplinary program:  Initial outcomes and predictors of response"	"Mayo Clin Proc"		"76(4): 384-90"	200104
101239010	"Cervical Necrotizing Fasciitis, odontogenic origin."	"Arch Otolaryngol Head Neck Surg"		130	200404
101239010	"Ectodermal Dysplasia: Otolaryngologic Manifestations and Management"	Laryngoscope		112	200206
101239010	"Minimizing complications in the use of titanium condylar head reconstruction prostheses."	"Otolaryngol Head Neck Surg"		130	200403
101239010	"Neck masses secondary to Heterotopic Salivary Gland Tissue: A 25 year experience."	"Am J Otolaryngol."		26	200503
101239010	"Prevalence of esophagitis in patients with pH-documented laryngopharyngeal reflux."	Laryngoscope		112	200209
101239010	"Transnasal Esophagoscopy"	"Oto Head Neck Surg"		125	200112
101239031	"Clinical breast examination practices among women undergoing screening mammography."	Radiology		"2002 Aug;224(2):555-9."	200208
101239031	"Sonographically guided clip placement facilitates localization of breast cancer after neoadjuvant chemotherapy."	"AJR Am J Roentgenol"		"2000 Feb;174(2):539-40"	200002
101239032	"Biomarkers to Predict Wound Healing: The Future of Complex War Wound Management"	"Journal of Plastic Surgery"		"Volume 127 pp 21S-26S"	201101
101239032	"Continuing promise 2009—assessment of a recent pediatric surgical humanitarian mission. "	"Journal of Pediatric Surgery "		"Vol. 47, Issue 4 pp 652-657"	201204
101239032	"Interstitial Inguinal Hernia Clinical Folio"		Vesalius.Com		201004
101239032	"Laparoscopic Distal Pancreatectomy for Retrieval of a Proximally Migrated Pancreatic Stent."	JSLS		16(1):169-72	201201
101239032	"Laparoscopic Repair of a large interstitially incarcerated inguinal hernia"	JSCR		3:2	201103
101239032	"Warfare-related Complex Abdominal Wall Reconstruction Using a Bioprosthetic Regenerate Template and Negative Pressure Therapy"	"Eplasty "		"9. e17"	200905
101239042	"Analysis of Navy Physical Evaluation Board diagnoses (1998-2000)."	"Mililtary Medicine"		"168(6):482-5. "	200306
101239042	"Disease and nonbattle injury patterns: afloat data from the U.S. Fifth Fleet (2000-2001)."	"Mililtary Medicine"		"168(2):131-4. "	200302
101239042	"Effects of pediatric blood lead surveillance on Navy population health (1995-2001)."	"Mililtary Medicine"		"168(5):391-3. "	200305
101239042	"Lyme disease reporting for Navy and Marine Corps (1997-2000)."	"Mililtary Medicine"		"168(12):1011-4. "	200312
101239042	"Navy Asbestos Medical Surveillance Program (1984-1990) Linear Regression Analysis for the Effect of Asbestos Exposure on Pulmonary Functions. "	"Mililtary Medicine"		"2004: 169: (8) 620-626. "	200408
101239042	"Navy Asbestos Medical Surveillance Program (1991-1999) Linear Regression Analysis for the Effect of Asbestos Exposure on Pulmonary Functions. "	"Military Medicine"		"2004: 169: (8) 613-619."	200408
101239042	"Navy Hearing Conservation Program (1995-1999). Rates for Threshold Shifts for Navy Officer and Enlisted Personnel by Age Group and Gender. "	"Mililtary Medicine"		"2004 169(1):73-6. "	200401
101239042	"Navy hearing conservation program: hearing threshold comparisons to Navy SEALS and divers."	"Undersea Hyperb Med."		"30(2):155-62. "	200307
101239042	"Neoplasm in the Navy: 1998- 2000:  A Descriptive Analysis of the Physical Evaluation Board Database"	"Military Medicine"		"2004: 169: (9) 707-712."	200409
101239042	"Trends in pleural radiographic findings in the Navy Asbestos Medical Surveillance Program (1990-1999)."	"Mililtary Medicine"		"2005 170(5):375-80. "	200505
101239054	"A mathematical model of combination therapy using the EGFR signaling network"	Biosystems		80(1):57-69	200504
101239054	"Analysis of Albumin Associated Peptides and Proteins from Ovarian Cancer Patients"	"Clinical Chemistry"	clinchem.2005.052944	"51:10 p1933-1945"	200510
101239054	"High-resolution serum proteomic patterns for ovarian cancer detection. "	"Endocr Relat Cancer "		"11(4) p585-7"	200412
101239054	"Malignant Precursor Cells Pre-exist in Human Breast DCIS and Require Autophagy for Survival."	"PLOS one"		"vol 5 issue 4 e10240"	201004
101239054	"Mapping Molecular Networks Using Proteomics: a vision for patient-tailored combination therapy"	"Journal of Clinical Oncology"		"23(15): p3614-21 "	200505
101239054	"multifunctional core shell nanoparticles:discovery of previously invisible biomarkers"	"Journal of the American Chemical Society"		"133(47) pp19178-19188"	201111
101239054	"Proteomic analysis of apoptotic pathways reveal prognostic factors in follicular lymphoma"	"Clinical Cancer Research"		"in press 2005"	200512
101239054	"Smart Hydrogel Particles: Biomarker harvesting:one-step affinity purification, size exclusion, and protection against degradation"	"Nano Letters"		8(1):350-61	200801
101239054	"Supra-additive growth inhibition by a celecoxib analogue and carboxyamido-triazole is primarily mediated through apoptosis"	"Cancer Research"		"65(9): p3853-60"	200505
101239054	"What is the maligant nature of Ductal Carcinoma in Situ?"	"Nature Rev. Cancer"		11(1):68-75	201012
101239055	"Abdominal mass and pain in a patient with pancreatitis"	JAPPA		"23(10):59-60. "	201010
101239055	"Cardiac arrest after percutaneous transthoracic needle biopsy: a consideration other than pneumothorax!"	"Am J Med Sci."		340(2):155	201008
101239055	"CT uncovers a rare disease in a man with hematuria."	JAAPA		"23(3):56, 64."	201003
101239055	"Gelastic presyncope: an unusual manifestation in an elderly patient."	" J Am Geriatr Soc."		57(4):749-50.	200904
101239055	"Left flank pain after cardiac catherization "	JAAPA		23(8):61-2.	201008
101239055	"Transient ischemic attack in an elderly patient: what to expect?"	"Am J Med Sci."		338(2):155.	200908
101239059	": In Vitro Cyclic Testing of Combined Peripheral and Core Tenorrhaphy Suture Techniques"	"J Hand Surg [Am]. "		"2002 May;27(3):518-24. "	200205
101239059	"Retroversion of the humerus in the throwing shoulder of college baseball pitchers."	"Am J Sports Med."		"2002 May-Jun;30(3):347-53. "	200205
101239059	"Three Cast Techniques for the Treatment of Extra-Articular Metacarpal Fractures. Comparison of Short-Term Outcomes and Final Fracture Alignments "	"J Bone Joint Surg Am. "	www.ejbjs.org	2005;87:2196-2201.	200510
101239060	"Psoriatic Skin Lesions Induced by Tumor Necrosis Factor Antagonist Therapy:  A Literature Review and Potential Mechanisms of Action"	"Arthritis Rheum "		59	200807
101239060	"The Treatment of Ankylosing Spondylitis and Psoriatic Arthritis with Etanercept: A Comprehensive Review"	"Clinical Medicine: Therapeutics "		1	200903
101239064	"Evaluation of a contingency blood donor program onboard US Navy submarines"	"Military Medicine"		169(4)	200404
101239065	"Risk factors for physical assault: State-managed workers' compensation experience"	"American Journal of Preventive Medicine "		"25(1):31-7 "	200307
101239066	"Prediction of breast cancer using volatile biomarkers in the breath."	"Breast Cancer Res Treat. 2006"		"2006 Sep;99(1):19-21. Epub 2006 Feb 24."	200602
101239066	"Sex and Type 2 Diabetes: Obesity-Independent Effects on Left Ventricular Substrate Metabolism and Relaxation in Humans."	"Obesity (Silver Spring)."		" 2011 Aug 4. doi: 10.1038/oby.2011.208."	201108
